Company Name,Last Price,Quantity,Investment,Year 2031,Profit 2031
Cox & Kings,1.54,100,154,3.08,308
Vikas Proppant ,2.9,100,290,5.8,580
ILandFS,4.79,100,479,9.58,958
Compucom Soft,9.05,100,905,18.1,1810
Energy Dev,10.98,100,1098,21.96,2196
Manugraph Ind,12.68,100,1268,25.36,2536
Wall Street Fin,14.06,100,1406,28.12,2812
Sakthi Finance,14.66,100,1466,29.32,2932
Sicagen India,15.3,100,1530,30.6,3060
Joindre Capital,17,100,1700,34,3400
Bharat Bhushan,17.5,100,1750,35,3500
Golkunda Diamon,18,100,1800,36,3600
Gowra Leasing,20.2,100,2020,40.4,4040
Gothi Plascon,20.54,100,2054,41.08,4108
Kilburn Engg,20.65,100,2065,41.3,4130
National Plasti,21.7,100,2170,43.4,4340
Oricon Ent,22.7,100,2270,45.4,4540
Pressman Advt,23.05,100,2305,46.1,4610
Solitaire Mach,23.95,100,2395,47.9,4790
VTM,23.95,100,2395,47.9,4790
NHPC,24.05,100,2405,48.1,4810
SJVN,24.95,100,2495,49.9,4990
BN Rathi Sec,26.9,100,2690,53.8,5380
Refnol Resin,28.25,100,2825,56.5,5650
Conart Engineer,28.65,100,2865,57.3,5730
Dwarikesh Sugar,29,100,2900,58,5800
Baid Leasing,30,100,3000,60,6000
Elixir Cap,30,100,3000,60,6000
Rail Vikas,31.35,100,3135,62.7,6270
Indo Thai Secu,32.6,100,3260,65.2,6520
Ador Fontech,36.1,100,3610,72.2,7220
Kesar Terminals,38.4,100,3840,76.8,7680
KIFS Financial,38.95,100,3895,77.9,7790
Tamilnadu Petro,39,100,3900,78,7800
Majesco,40.2,100,4020,80.4,8040
Weizmann,41,100,4100,82,8200
GPT Infra,42.15,100,4215,84.3,8430
HUDCO,42.8,100,4280,85.6,8560
IDFC,43.6,100,4360,87.2,8720
PNB Gilts,43.65,100,4365,87.3,8730
PTL Enterprises,44,100,4400,88,8800
ISL,46.4,100,4640,92.8,9280
Mold Tek Tech,46.55,100,4655,93.1,9310
Advani Hotels,46.8,100,4680,93.6,9360
Dynamic Ind,47.25,100,4725,94.5,9450
NALCO,47.9,100,4790,95.8,9580
Divyashakti,48,100,4800,96,9600
Manaksia,51.35,100,5135,102.7,10270
NLC India,51.35,100,5135,102.7,10270
Rashtriya Chem,54,100,5400,108,10800
Mysore Petro,54.1,100,5410,108.2,10820
Guj Mineral,55.05,100,5505,110.1,11010
Menon Bearings,55.35,100,5535,110.7,11070
Saurashtra Cem,55.35,100,5535,110.7,11070
PTC India,60.7,100,6070,121.4,12140
Orbit Exports,64.75,100,6475,129.5,12950
Bhatia Communic,66.85,100,6685,133.7,13370
EngineersInd,72.8,100,7280,145.6,14560
Guj Ind Power,75.7,100,7570,151.4,15140
Aditya Vision,77.6,100,7760,155.2,15520
Shreyans Ind,79.05,100,7905,158.1,15810
Stanrose Financ,80,100,8000,160,16000
Navneet,81.45,100,8145,162.9,16290
DB Corp,81.75,100,8175,163.5,16350
UFO Moviez,83.3,100,8330,166.6,16660
Ircon Internati,83.95,100,8395,167.9,16790
Gujarat Pipavav,86.45,100,8645,172.9,17290
ONGC,88.4,100,8840,176.8,17680
NTPC,89.1,100,8910,178.2,17820
Gujarat Pipavav Port,92.05,100,9205,184.1,18410
IOC,93.3,100,9330,186.6,18660
Guj Intrux,98.35,100,9835,196.7,19670
NMDC,105.2,100,10520,210.4,21040
Magadh Sugar ,107.8,100,10780,215.6,21560
IRB Infra,108.35,100,10835,216.7,21670
Power Finance,109.9,100,10990,219.8,21980
Oil India,111.35,100,11135,222.7,22270
Balmer Lawrie,118.8,100,11880,237.6,23760
Tamil Newsprint,118.95,100,11895,237.9,23790
